,Name,Price,Model,Brand,Size,Retailer,Categories,Currencies
6,Sony 65-inch X95H 4K UHD LED LCD Smart TV,2995                        ,KD65X9500H,Sony,65,Harvey Norman,Televisions,AUD
7,Hisense 65-inch S8 4K LED LCD Smart TV,1395,65S8,Hisense,65,Harvey Norman,Televisions,AUD
8,LG 55-inch Nano80 4K NanoCell Ai ThinQ Smart TV,1495,55NANO80TNA,LG,55,Harvey Norman,Televisions,AUD
9,Hisense 75-inch S8 4K LED LCD Smart TV,1895                        ,75S8,Hisense,75,Harvey Norman,Televisions,AUD
10,TCL 65-inch C715 4K QLED Smart TV,1695,65C715,TCL,65,Harvey Norman,Televisions,AUD
11,Samsung 75-inch Q60T 4K QLED Smart TV,2895,QA75Q60TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
12,Sony 55-inch X80H 4K UHD LED LCD Smart TV,1295                        ,KD55X8000H,Sony,55,Harvey Norman,Televisions,AUD
13,Samsung 65-inch The Frame LS03T 4K QLED Smart TV,2695,QA65LS03TAWXXY,Samsung,65,Harvey Norman,Televisions,AUD
14,Samsung 82-inch Q800T 8K QLED Smart TV,8995,QA82Q800TAWXXY,Samsung,82,Harvey Norman,Televisions,AUD
15,Samsung 75-inch Q800T 8K QLED Smart TV,5995                        ,QA75Q800TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
16,Samsung 65-inch Q800T 8K QLED Smart TV,4795,QA65Q800TAWXXY,Samsung,65,Harvey Norman,Televisions,AUD
17,Samsung 75-inch Q95T 4K QLED Smart TV,5995,QA75Q95TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
18,Samsung 55-inch Q95T 4K QLED Smart TV,2995,QA55Q95TAWXXY,Samsung,55,Harvey Norman,Televisions,AUD
19,Samsung 75-inch Q80T 4K QLED Smart TV,4495,QA75Q80TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
20,Samsung 65-inch Q80T 4K QLED Smart TV,2995,QA65Q80TAWXXY,Samsung,65,Harvey Norman,Televisions,AUD
21,Samsung 55-inch Q80T 4K QLED Smart TV,2195,QA55Q80TAWXXY,Samsung,55,Harvey Norman,Televisions,AUD
22,Samsung 85-inch Q70T 4K QLED Smart TV,5495,QA85Q70TAWXXY,Samsung,85,Harvey Norman,Televisions,AUD
23,Samsung 75-inch Q70T 4K QLED Smart TV,3495,QA75Q70TAWXXY,Samsung,75,Harvey Norman,Televisions,AUD
24,Samsung 65-inch Q70T 4K QLED Smart TV,2295,QA65Q70TAWXXY,Samsung,65,Harvey Norman,Televisions,AUD
25,LG 55-inch CX Cinema Series 4K UHD Self-lit OLED Smart TV Ai ThinQ,3095                        ,OLED55CXPTA,LG,55,Harvey Norman,Televisions,AUD
26,LG 65-inch CX Cinema Series 4K UHD Self-lit OLED Smart TV Ai ThinQ,4295                        ,OLED65CXPTA,LG,65,Harvey Norman,Televisions,AUD
27,LG 77-inch CX Cinema Series 4K UHD Self-lit OLED Smart TV Ai ThinQ,7995                        ,OLED77CXPTA,LG,77,Harvey Norman,Televisions,AUD
